location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Wakkanai,45.415,141.6788889,2.85,1953,5/30/53,150
Japan/Wakkanai,45.415,141.6788889,2.85,1954,5/27/54,147
Japan/Wakkanai,45.415,141.6788889,2.85,1955,5/23/55,143
Japan/Wakkanai,45.415,141.6788889,2.85,1956,5/14/56,135
Japan/Wakkanai,45.415,141.6788889,2.85,1957,5/22/57,142
Japan/Wakkanai,45.415,141.6788889,2.85,1958,5/25/58,145
Japan/Wakkanai,45.415,141.6788889,2.85,1959,5/12/59,132
Japan/Wakkanai,45.415,141.6788889,2.85,1960,5/24/60,145
Japan/Wakkanai,45.415,141.6788889,2.85,1961,5/18/61,138
Japan/Wakkanai,45.415,141.6788889,2.85,1962,5/17/62,137
Japan/Wakkanai,45.415,141.6788889,2.85,1963,5/15/63,135
Japan/Wakkanai,45.415,141.6788889,2.85,1965,5/22/65,142
Japan/Wakkanai,45.415,141.6788889,2.85,1974,5/22/74,142
Japan/Wakkanai,45.415,141.6788889,2.85,1975,5/22/75,142
Japan/Wakkanai,45.415,141.6788889,2.85,1976,5/23/76,144
Japan/Wakkanai,45.415,141.6788889,2.85,1977,5/26/77,146
Japan/Wakkanai,45.415,141.6788889,2.85,1978,5/19/78,139
Japan/Wakkanai,45.415,141.6788889,2.85,1979,5/26/79,146
Japan/Wakkanai,45.415,141.6788889,2.85,1980,5/27/80,148
Japan/Wakkanai,45.415,141.6788889,2.85,1981,5/15/81,135
Japan/Wakkanai,45.415,141.6788889,2.85,1982,5/18/82,138
Japan/Wakkanai,45.415,141.6788889,2.85,1983,5/12/83,132
Japan/Wakkanai,45.415,141.6788889,2.85,1984,5/26/84,147
Japan/Wakkanai,45.415,141.6788889,2.85,1985,5/17/85,137
Japan/Wakkanai,45.415,141.6788889,2.85,1986,5/18/86,138
Japan/Wakkanai,45.415,141.6788889,2.85,1987,5/19/87,139
Japan/Wakkanai,45.415,141.6788889,2.85,1988,5/20/88,141
Japan/Wakkanai,45.415,141.6788889,2.85,1989,5/19/89,139
Japan/Wakkanai,45.415,141.6788889,2.85,1990,5/9/90,129
Japan/Wakkanai,45.415,141.6788889,2.85,1991,5/18/91,138
Japan/Wakkanai,45.415,141.6788889,2.85,1992,5/19/92,140
Japan/Wakkanai,45.415,141.6788889,2.85,1993,5/18/93,138
Japan/Wakkanai,45.415,141.6788889,2.85,1994,5/19/94,139
Japan/Wakkanai,45.415,141.6788889,2.85,1995,5/11/95,131
Japan/Wakkanai,45.415,141.6788889,2.85,1996,5/25/96,146
Japan/Wakkanai,45.415,141.6788889,2.85,1997,5/22/97,142
Japan/Wakkanai,45.415,141.6788889,2.85,1998,5/14/98,134
Japan/Wakkanai,45.415,141.6788889,2.85,1999,5/18/99,138
Japan/Wakkanai,45.415,141.6788889,2.85,2000,5/21/00,142
Japan/Wakkanai,45.415,141.6788889,2.85,2001,5/19/01,139
Japan/Wakkanai,45.415,141.6788889,2.85,2002,5/2/02,122
Japan/Wakkanai,45.415,141.6788889,2.85,2003,5/14/03,134
Japan/Wakkanai,45.415,141.6788889,2.85,2004,5/12/04,133
Japan/Wakkanai,45.415,141.6788889,2.85,2005,5/28/05,148
Japan/Wakkanai,45.415,141.6788889,2.85,2006,5/20/06,140
Japan/Wakkanai,45.415,141.6788889,2.85,2007,5/17/07,137
Japan/Wakkanai,45.415,141.6788889,2.85,2008,5/5/08,126
Japan/Wakkanai,45.415,141.6788889,2.85,2009,5/12/09,132
Japan/Wakkanai,45.415,141.6788889,2.85,2010,5/25/10,145
Japan/Wakkanai,45.415,141.6788889,2.85,2011,5/25/11,145
Japan/Wakkanai,45.415,141.6788889,2.85,2012,5/18/12,139
Japan/Wakkanai,45.415,141.6788889,2.85,2013,5/28/13,148
Japan/Wakkanai,45.415,141.6788889,2.85,2014,5/13/14,133
Japan/Wakkanai,45.415,141.6788889,2.85,2015,5/6/15,126
Japan/Wakkanai,45.415,141.6788889,2.85,2016,5/15/16,136
Japan/Wakkanai,45.415,141.6788889,2.85,2017,5/11/17,131
Japan/Wakkanai,45.415,141.6788889,2.85,2018,5/15/18,135
Japan/Wakkanai,45.415,141.6788889,2.85,2019,5/9/19,129
Japan/Wakkanai,45.415,141.6788889,2.85,2020,5/12/20,133
Japan/Wakkanai,45.415,141.6788889,2.85,2021,5/11/21,131
